"indicator","indicator_clean","pop_label","n_methods","mean_estimate","sd_estimate","cv_estimate","min_estimate","max_estimate","range_estimate","mean_estimate_pct","range_estimate_pct","cv_percent"
"access_to_help_rds","Limited access to help","1.74M",6,0.595079740588811,0.0215539608303106,0.0362202900891631,0.576470588235294,0.63576881134133,0.0592982231060362,59.5079740588811,5.92982231060362,3.62202900891631
"access_to_help_rds","Limited access to help","100K",6,0.595079740588811,0.0215539608303106,0.0362202900891631,0.576470588235294,0.63576881134133,0.0592982231060362,59.5079740588811,5.92982231060362,3.62202900891631
"access_to_help_rds","Limited access to help","50K",6,0.595079740588811,0.0215539608303106,0.0362202900891631,0.576470588235294,0.63576881134133,0.0592982231060362,59.5079740588811,5.92982231060362,3.62202900891631
"access_to_help_rds","Limited access to help","980K",6,0.595079740588811,0.0215539608303106,0.0362202900891631,0.576470588235294,0.63576881134133,0.0592982231060362,59.5079740588811,5.92982231060362,3.62202900891631
"composite_risk","Composite risk score","1.74M",6,0.375620495761523,0.011219134471416,0.0298682702302243,0.369097054893395,0.397894989053748,0.0287979341603529,37.5620495761523,2.87979341603529,2.98682702302243
"composite_risk","Composite risk score","100K",6,0.375620495761523,0.011219134471416,0.0298682702302243,0.369097054893395,0.397894989053748,0.0287979341603529,37.5620495761523,2.87979341603529,2.98682702302243
"composite_risk","Composite risk score","50K",6,0.375620495761523,0.011219134471416,0.0298682702302243,0.369097054893395,0.397894989053748,0.0287979341603529,37.5620495761523,2.87979341603529,2.98682702302243
"composite_risk","Composite risk score","980K",6,0.375620495761523,0.011219134471416,0.0298682702302242,0.369097054893395,0.397894989053748,0.0287979341603529,37.5620495761523,2.87979341603529,2.98682702302242
"document_withholding_rds","Document withholding","1.74M",6,0.320328854470346,0.116028536127033,0.3622169358389,0.141766630316249,0.494048070335576,0.352281440019327,32.0328854470346,35.2281440019327,36.22169358389
"document_withholding_rds","Document withholding","100K",6,0.320328854470346,0.116028536127033,0.3622169358389,0.141766630316249,0.494048070335576,0.352281440019327,32.0328854470346,35.2281440019327,36.22169358389
"document_withholding_rds","Document withholding","50K",6,0.320328854470346,0.116028536127033,0.3622169358389,0.141766630316249,0.494048070335576,0.352281440019327,32.0328854470346,35.2281440019327,36.22169358389
"document_withholding_rds","Document withholding","980K",6,0.320328854470346,0.116028536127033,0.3622169358389,0.141766630316249,0.494048070335576,0.352281440019327,32.0328854470346,35.2281440019327,36.22169358389
"excessive_hours_rds","Excessive working hours","1.74M",6,0.844981867958608,0.0421809637429278,0.0499193714592158,0.806979280261723,0.927528926734306,0.120549646472583,84.4981867958607,12.0549646472583,4.99193714592158
"excessive_hours_rds","Excessive working hours","100K",6,0.844981867958607,0.0421809637429278,0.0499193714592158,0.806979280261723,0.927528926734306,0.120549646472583,84.4981867958607,12.0549646472583,4.99193714592158
"excessive_hours_rds","Excessive working hours","50K",6,0.844981867958607,0.0421809637429278,0.0499193714592158,0.806979280261723,0.927528926734306,0.120549646472583,84.4981867958607,12.0549646472583,4.99193714592158
"excessive_hours_rds","Excessive working hours","980K",6,0.844981867958607,0.0421809637429278,0.0499193714592158,0.806979280261723,0.927528926734306,0.120549646472583,84.4981867958607,12.0549646472583,4.99193714592158
"pay_issues_rds","Pay-related issues","1.74M",6,0.549176479283587,0.0635575447048427,0.115732459605253,0.496527013804292,0.647764449291167,0.151237435486875,54.9176479283587,15.1237435486875,11.5732459605253
"pay_issues_rds","Pay-related issues","100K",6,0.549176479283587,0.0635575447048426,0.115732459605253,0.496527013804292,0.647764449291167,0.151237435486875,54.9176479283587,15.1237435486875,11.5732459605253
"pay_issues_rds","Pay-related issues","50K",6,0.549176479283587,0.0635575447048426,0.115732459605253,0.496527013804292,0.647764449291167,0.151237435486875,54.9176479283587,15.1237435486875,11.5732459605253
"pay_issues_rds","Pay-related issues","980K",6,0.549176479283587,0.0635575447048426,0.115732459605253,0.496527013804292,0.647764449291167,0.151237435486875,54.9176479283587,15.1237435486875,11.5732459605253
"threats_abuse_rds","Threats and abuse","1.74M",6,0.602610196568151,0.0378868769193325,0.0628712841818762,0.572248786139299,0.652240884240738,0.0799920981014385,60.2610196568151,7.99920981014385,6.28712841818762
"threats_abuse_rds","Threats and abuse","100K",6,0.602610196568151,0.0378868769193325,0.0628712841818762,0.572248786139299,0.652240884240738,0.0799920981014385,60.2610196568151,7.99920981014385,6.28712841818762
"threats_abuse_rds","Threats and abuse","50K",6,0.602610196568151,0.0378868769193325,0.0628712841818762,0.572248786139299,0.652240884240738,0.0799920981014385,60.2610196568151,7.99920981014385,6.28712841818762
"threats_abuse_rds","Threats and abuse","980K",6,0.602610196568152,0.0378868769193325,0.0628712841818761,0.572248786139299,0.652240884240738,0.0799920981014385,60.2610196568152,7.99920981014385,6.28712841818761
"whether_exploitation","Overall exploitation indicator","1.74M",6,0.975436457695649,0.0124019911333365,0.0127142993636251,0.964705882352941,1,0.0352941176470588,97.5436457695649,3.52941176470588,1.27142993636251
"whether_exploitation","Overall exploitation indicator","100K",6,0.975436457695649,0.0124019911333365,0.0127142993636251,0.964705882352941,1,0.0352941176470588,97.5436457695649,3.52941176470588,1.27142993636251
"whether_exploitation","Overall exploitation indicator","50K",6,0.975436457695649,0.0124019911333365,0.0127142993636251,0.964705882352941,1,0.0352941176470588,97.5436457695649,3.52941176470588,1.27142993636251
"whether_exploitation","Overall exploitation indicator","980K",6,0.975436457695649,0.0124019911333365,0.0127142993636251,0.964705882352941,1,0.0352941176470588,97.5436457695649,3.52941176470588,1.27142993636251
