"indicator","rds_estimate_pct","nsum_estimate_pct","nsum_weighting_scheme","difference_pct"
"Excessive working hours",83.7284529663637,5,"unweighted",-78.7284529663637
"Excessive working hours",83.7284529663637,5.9645389411244,"rds_I_document_withholding",-77.7639140252393
"Excessive working hours",83.7284529663637,5.0384316418484,"rds_I_pay_issues",-78.6900213245153
"Excessive working hours",83.7284529663637,5.06748433468595,"rds_I_threats_abuse",-78.6609686316777
"Excessive working hours",83.7284529663637,5.22447601194452,"rds_I_excessive_hours",-78.5039769544192
"Excessive working hours",83.7284529663637,4.99821912475285,"rds_I_access_to_help",-78.7302338416109
"Excessive working hours",83.7284529663637,10.6821018625028,"vh_980k",-73.0463511038609
"Excessive working hours",83.7284529663637,10.6821018625028,"vh_100k",-73.0463511038609
"Excessive working hours",83.7284529663637,10.6821018625028,"vh_050k",-73.0463511038609
"Excessive working hours",83.7284529663637,10.6821018625028,"ss_980k",-73.0463511038609
"Limited access to help",59.3632888454803,3.95348837209302,"unweighted",-55.4098004733873
"Limited access to help",59.3632888454803,4.59704368123591,"rds_I_document_withholding",-54.7662451642444
"Limited access to help",59.3632888454803,3.96384365008906,"rds_I_pay_issues",-55.3994451953912
"Limited access to help",59.3632888454803,3.94407195329964,"rds_I_threats_abuse",-55.4192168921806
"Limited access to help",59.3632888454803,4.02460363344622,"rds_I_excessive_hours",-55.338685212034
"Limited access to help",59.3632888454803,3.95158902867097,"rds_I_access_to_help",-55.4116998168093
"Limited access to help",59.3632888454803,8.47494064955091,"vh_980k",-50.8883481959294
"Limited access to help",59.3632888454803,8.4749406495509,"vh_100k",-50.8883481959294
"Limited access to help",59.3632888454803,8.4749406495509,"vh_050k",-50.8883481959294
"Limited access to help",59.3632888454803,8.47494064955091,"ss_980k",-50.8883481959294
"Threats and abuse",57.22487861393,4.65116279069767,"unweighted",-52.5737158232323
"Threats and abuse",57.22487861393,5.50870718782823,"rds_I_document_withholding",-51.7161714261018
"Threats and abuse",57.22487861393,4.70232279508288,"rds_I_pay_issues",-52.5225558188471
"Threats and abuse",57.22487861393,4.76799613498601,"rds_I_threats_abuse",-52.456882478944
"Threats and abuse",57.22487861393,4.90922648148075,"rds_I_excessive_hours",-52.3156521324492
"Threats and abuse",57.22487861393,4.64975658309311,"rds_I_access_to_help",-52.5751220308369
"Threats and abuse",57.22487861393,11.1096208913581,"vh_980k",-46.1152577225719
"Threats and abuse",57.22487861393,11.1096208913581,"vh_100k",-46.1152577225719
"Threats and abuse",57.22487861393,11.1096208913581,"vh_050k",-46.1152577225719
"Threats and abuse",57.22487861393,11.1096208913581,"ss_980k",-46.1152577225719
"Pay-related issues",49.6527013804293,4.65116279069767,"unweighted",-45.0015385897316
"Pay-related issues",49.6527013804293,5.50870718782824,"rds_I_document_withholding",-44.143994192601
"Pay-related issues",49.6527013804293,4.70232279508288,"rds_I_pay_issues",-44.9503785853464
"Pay-related issues",49.6527013804293,4.74300193695418,"rds_I_threats_abuse",-44.9096994434751
"Pay-related issues",49.6527013804293,4.82451855244509,"rds_I_excessive_hours",-44.8281828279842
"Pay-related issues",49.6527013804293,4.64975658309311,"rds_I_access_to_help",-45.0029447973362
"Pay-related issues",49.6527013804293,10.9082454294036,"vh_980k",-38.7444559510257
"Pay-related issues",49.6527013804293,10.9082454294036,"vh_100k",-38.7444559510257
"Pay-related issues",49.6527013804293,10.9082454294036,"vh_050k",-38.7444559510257
"Pay-related issues",49.6527013804293,10.9082454294036,"ss_980k",-38.7444559510257
"Document withholding",34.2444965586162,2.90697674418605,"unweighted",-31.3375198144302
"Document withholding",34.2444965586162,3.74169299185595,"rds_I_document_withholding",-30.5028035667603
"Document withholding",34.2444965586162,2.88925565832973,"rds_I_pay_issues",-31.3552409002865
"Document withholding",34.2444965586162,2.97062476010432,"rds_I_threats_abuse",-31.2738717985119
"Document withholding",34.2444965586162,3.1635629710906,"rds_I_excessive_hours",-31.0809335875256
"Document withholding",34.2444965586162,2.90495893258908,"rds_I_access_to_help",-31.3395376260271
"Document withholding",34.2444965586162,7.89967449032038,"vh_980k",-26.3448220682958
"Document withholding",34.2444965586162,7.89967449032037,"vh_100k",-26.3448220682958
"Document withholding",34.2444965586162,7.89967449032037,"vh_050k",-26.3448220682958
"Document withholding",34.2444965586162,7.89967449032038,"ss_980k",-26.3448220682958
